name,rating,genre,year,director,writer,star,country,company,runtime
The Shining,R,Drama,1980,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,Warner Bros.,146
The Blue Lagoon,R,Adventure,1980,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,Columbia Pictures,104
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,Irvin Kershner,Leigh Brackett,Mark Hamill,United States,Lucasfilm,124
Airplane!,PG,Comedy,1980,Jim Abrahams,Jim Abrahams,Robert Hays,United States,Paramount Pictures,88
Caddyshack,R,Comedy,1980,Harold Ramis,Brian Doyle-Murray,Chevy Chase,United States,Orion Pictures,98
Friday the 13th,R,Horror,1980,Sean S. Cunningham,Victor Miller,Betsy Palmer,United States,Paramount Pictures,95
The Blues Brothers,R,Action,1980,John Landis,Dan Aykroyd,John Belushi,United States,Universal Pictures,133
Raging Bull,R,Biography,1980,Martin Scorsese,Jake LaMotta,Robert De Niro,United States,Chartoff-Winkler Productions,129
Superman II,PG,Action,1980,Richard Lester,Jerry Siegel,Gene Hackman,United States,Dovemead Films,127
The Long Riders,R,Biography,1980,Walter Hill,Bill Bryden,David Carradine,United States,United Artists,100
Any Which Way You Can,PG,Action,1980,Buddy Van Horn,Stanford Sherman,Clint Eastwood,United States,The Malpaso Company,116
The Gods Must Be Crazy,PG,Adventure,1980,Jamie Uys,Jamie Uys,N!xau,South Africa,C.A.T. Films,109
Popeye,PG,Adventure,1980,Robert Altman,Jules Feiffer,Robin Williams,United States,Paramount Pictures,114
Ordinary People,R,Drama,1980,Robert Redford,Judith Guest,Donald Sutherland,United States,Paramount Pictures,124
Dressed to Kill,R,Crime,1980,Brian De Palma,Brian De Palma,Michael Caine,United States,Filmways Pictures,104
Somewhere in Time,PG,Drama,1980,Jeannot Szwarc,Richard Matheson,Christopher Reeve,United States,Rastar Pictures,103
Fame,R,Drama,1980,Alan Parker,Christopher Gore,Eddie Barth,United States,Metro-Goldwyn-Mayer (MGM),134
9 to 5,PG,Comedy,1980,Colin Higgins,Patricia Resnick,Jane Fonda,United States,IPC Films,109
The Fog,R,Horror,1980,John Carpenter,John Carpenter,Adrienne Barbeau,United States,AVCO Embassy Pictures,89
Stir Crazy,R,Comedy,1980,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,United States,Columbia Pictures,111
Cruising,R,Crime,1980,William Friedkin,William Friedkin,Al Pacino,West Germany,Lorimar Film Entertainment,102
Heaven's Gate,R,Adventure,1980,Michael Cimino,Michael Cimino,Kris Kristofferson,United States,Partisan Productions,219
The Final Countdown,PG,Action,1980,Don Taylor,Thomas Hunter,Kirk Douglas,United States,Bryna Productions,103
Xanadu,PG,Fantasy,1980,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,United States,Universal Pictures,96
Urban Cowboy,PG,Drama,1980,James Bridges,Aaron Latham,John Travolta,United States,Paramount Pictures,132
Altered States,R,Horror,1980,Ken Russell,Paddy Chayefsky,William Hurt,United States,Warner Bros.,102
Little Darlings,R,Comedy,1980,Ron Maxwell,Kimi Peck,Tatum O'Neal,United States,Stephen Friedman/Kings Road Productions,96
Raise the Titanic,PG,Action,1980,Jerry Jameson,Adam Kennedy,Jason Robards,United Kingdom,ITC Films,115
Brubaker,R,Crime,1980,Stuart Rosenberg,W.D. Richter,Robert Redford,United States,Twentieth Century Fox,131
American Gigolo,R,Crime,1980,Paul Schrader,Paul Schrader,Richard Gere,United States,Paramount Pictures,117
My Bodyguard,PG,Comedy,1980,Tony Bill,Alan Ormsby,Chris Makepeace,United States,Twentieth Century Fox,102
Prom Night,R,Horror,1980,Paul Lynch,William Gray,Leslie Nielsen,Canada,Guardian Trust Company,92
Smokey and the Bandit II,PG,Action,1980,Hal Needham,Hal Needham,Burt Reynolds,United States,Universal Pictures,100
Cattle Annie and Little Britches,PG,Drama,1980,Lamont Johnson,David Eyre,Scott Glenn,United States,Cattle Annie Productions,97
Seems Like Old Times,PG,Comedy,1980,Jay Sandrich,Neil Simon,Goldie Hawn,United States,Rastar Films,102
Private Benjamin,R,Comedy,1980,Howard Zieff,Nancy Meyers,Goldie Hawn,United States,Warner Bros.,109
The Hollywood Knights,R,Comedy,1980,Floyd Mutrux,Floyd Mutrux,Tony Danza,United States,PolyGram Filmed Entertainment,91
Motel Hell,R,Comedy,1980,Kevin Connor,Robert Jaffe,Rory Calhoun,United States,Camp Hill,101
The Jazz Singer,PG,Drama,1980,Richard Fleischer,Samson Raphaelson,Laurence Olivier,United States,EMI Films,115
Coal Miner's Daughter,PG,Biography,1980,Michael Apted,Thomas Rickman,Sissy Spacek,United States,Universal Pictures,124
The Watcher in the Woods,PG,Family,1980,John Hough,Brian Clemens,Bette Davis,United States,Walt Disney Productions,84
Breaker Morant,PG,Drama,1980,Bruce Beresford,Jonathan Hardy,Edward Woodward,Australia,The South Australian Film Corporation,107
The Stunt Man,R,Action,1980,Richard Rush,Lawrence B. Marcus,Peter O'Toole,United States,Melvin Simon Productions,131
Where the Buffalo Roam,R,Biography,1980,Art Linson,Hunter S. Thompson,Peter Boyle,United States,Universal Pictures,99
The Awakening,R,Horror,1980,Mike Newell,Allan Scott,Charlton Heston,United Kingdom,EMI Films,101
Cheech and Chong's Next Movie,R,Comedy,1980,Tommy Chong,Tommy Chong,Cheech Marin,United States,Universal Pictures,99
The Island,R,Action,1980,Michael Ritchie,Peter Benchley,Michael Caine,United States,Universal Pictures,109
The Boogey Man,R,Horror,1980,Ulli Lommel,Ulli Lommel,Suzanna Love,United States,The Jerry Gross Organization,82
The Nude Bomb,PG,Action,1980,Clive Donner,Mel Brooks,Don Adams,United States,Universal Pictures,94
Lion of the Desert,PG,Biography,1980,Moustapha Akkad,David Butler,Anthony Quinn,Libya,Falcon International Productions,173
Stardust Memories,PG,Comedy,1980,Woody Allen,Woody Allen,Woody Allen,United States,Jack Rollins & Charles H. Joffe Productions,89
Melvin and Howard,R,Comedy,1980,Jonathan Demme,Bo Goldman,Paul Le Mat,United States,Universal Pictures,95
Can't Stop the Music,PG,Biography,1980,Nancy Walker,Bronte Woodard,Ray Simpson,United States,EMI Films,124
Bronco Billy,PG,Action,1980,Clint Eastwood,Dennis Hackin,Clint Eastwood,United States,Warner Bros.,116
City of Women,R,Comedy,1980,Federico Fellini,Federico Fellini,Marcello Mastroianni,Italy,Opera Film Produzione,139
The Private Eyes,PG,Comedy,1980,Lang Elliott,Tim Conway,Tim Conway,United States,Tri Star Productions,91
When Time Ran Out...,PG,Action,1980,James Goldstone,Gordon Thomas,Paul Newman,United States,International Cinema,121
Oh Heavenly Dog,PG,Comedy,1980,Joe Camp,Rod Browning,Chevy Chase,United States,Mulberry Square Productions,103
The Octagon,R,Action,1980,Eric Karson,Leigh Chapman,Chuck Norris,United States,American Cinema Productions,103
Hangar 18,PG,Sci-Fi,1980,James L. Conway,Ken Pettus,Darren McGavin,United States,Sunn Classic Pictures,97
Herbie Goes Bananas,G,Adventure,1980,Vincent McEveety,Don Tait,Charles Martin Smith,United States,Walt Disney Productions,100
The Competition,PG,Drama,1980,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,United States,Rastar Films,123
It's My Turn,R,Comedy,1980,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,United States,Rastar Films,91
Honeysuckle Rose,PG,Drama,1980,Jerry Schatzberg,G�sta Stevens,Willie Nelson,United States,Major Studio Partners,119
Resurrection,PG,Drama,1980,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,United States,Universal Pictures,103
